"","date","device","cost","rfi_revenue","clicks","conversions","impressions","month","year"
"83",2013-11-15,"IPOD",0.005759527,"0.03455",0,0,14,"Nov",2013
"84",2013-02-03,"GOOGLE_TV",27.13877628,"88.5453",8,12,35340,"Feb",2013
"85",2013-02-03,"PALM",1.456763036,"4.04735",0,0,1339,"Feb",2013
"86",2013-02-24,"WINDOWS_MOBILE",240.3327467,"517.76504",214,71.6,185437,"Feb",2013
"87",2013-02-26,"IPHONE",1514.169249,"5173.49389",2351,166.6,1893063,"Feb",2013
"88",2013-03-08,"WINDOWS_MOBILE",127.5671805,"268.31996",100,14.1,101984,"Mar",2013
"89",2013-03-12,"WII",0.917625756,"4.73945",0,0,1863,"Mar",2013
"90",2013-03-28,"IPAD",5290.584722,"14685.66827",11925,1513.686,7844043,"Mar",2013
"91",2013-04-13,"KINDLE",0.297952601,"1.21735",0,0,461,"Apr",2013
"92",2013-04-19,"NULL",1.939625988,"4.36149",75,7,2166,"Apr",2013
"93",2013-04-27,"MOBILE",71.56426374,"266.94422",55,24,107874,"Apr",2013
"94",2013-05-31,"BLACKBERRY_TABLET",483.1277556,"500.40109",1198,109,219270,"May",2013
"95",2013-06-15,"BLACKBERRY_TABLET",526.784941,"425.2494",950,83.84,200767,"Jun",2013
"96",2013-07-12,"ANDROID_TABLET",749.4665924,"2004.698618",1624,268.195,793116,"Jul",2013
"97",2013-08-11,"IPOD",360.3053362,"2343.324399",1526,29.04,984320,"Aug",2013
"98",2013-10-08,"BLACKBERRY",315.3468815,"1498.361121",990,35.06,584702,"Oct",2013
"99",2013-10-08,"MOBILE",12332.52752,"51286.80329",31395,2629.4,21442638,"Oct",2013
"100",2013-11-12,"BLACKBERRY_TABLET",803.2792748,"795.3506207",1686,185.35,330784,"Nov",2013
"101",2013-11-27,"GOOGLE_TV",46.12191665,"163.1726313",36,35,63757,"Nov",2013
"102",2013-11-27,"PALM",3.33380688,"4.85656",0,0,2099,"Nov",2013
"103",2013-03-03,"UNKNOWN",670.0026665,"1971.09372",1110,369.402,823001,"Mar",2013
"104",2013-03-24,"ANDROID_MOBILE",7778.641892,"24139.8937",35541,2179.854,9547462,"Mar",2013
"105",2013-03-25,"COMPUTER",221615.1595,"509983.9215",105220,447770.576,254404264,"Mar",2013
"106",2013-04-08,"ANDROID_MOBILE",7019.428494,"18661.41862",10723,1402.4908,7211547,"Apr",2013
"107",2013-04-09,"COMPUTER",199974.3387,"459204.2407",105747,274230.5436,196106400,"Apr",2013
"108",2013-04-16,"BLACKBERRY",136.0030716,"458.95444",157,19,215821,"Apr",2013
"109",2013-05-01,"WINDOWS_MOBILE",194.7780204,"434.16386",200,16.018,159314,"May",2013
"110",2013-05-03,"IPHONE",3911.808536,"7215.10851",12616,112.688,2216922,"May",2013
"111",2013-05-21,"IPAD",5325.137359,"11493.86783",4886,1275.796,5005691,"May",2013
"112",2013-06-05,"IPAD",7066.724008,"17261.92405",8828,1502,7147177,"Jun",2013
"113",2013-06-12,"NULL",2.361020396,"4.87005",2,1,2209,"Jun",2013
"114",2013-06-16,"PSP",0.103014919,"0.49468",0,0,193,"Jun",2013
"115",2013-06-20,"MOBILE",96.83891513,"290.98402",184,2,114740,"Jun",2013
"116",2013-07-04,"MOBILE",101.2269444,"420.238994",477,13.5,166847,"Jul",2013
"117",2013-08-23,"GOOGLE_TV",54.23008447,"124.78392",84,163.101,50147,"Aug",2013
"118",2013-08-23,"PALM",1.133211681,"3.08406",3,7,1206,"Aug",2013
"119",2013-09-07,"GOOGLE_TV",28.66764645,"97.298958",48,37.502,37187,"Sep",2013
"120",2013-09-07,"PALM",1.347695367,"4.05332",2,0,1436,"Sep",2013
"121",2013-09-28,"WINDOWS_MOBILE",484.098555,"1356.514373",552,47.42,522762,"Sep",2013
"122",2013-11-02,"IPAD",3321.921276,"9970.982617",6898,1102.643,4492201,"Nov",2013
"123",2013-11-13,"PSP",0.166383803,"1.14077",0,0,435,"Nov",2013
"124",2013-11-24,"TABLET",0.026217859,"0.04868",0,0,16,"Nov",2013
"125",2013-12-01,"BLACKBERRY",173.9984189,"1134.097261",505,13.22,460732,"Dec",2013
"126",2013-12-01,"MOBILE",354.5471302,"1218.402393",852,100.02,474008,"Dec",2013
"127",2013-12-08,"TABLET",0.30007222,"0.76002",1,0,312,"Dec",2013
"128",2013-12-27,"UNKNOWN",2197.391493,"3933.117152",1057,7796.277,1891050,"Dec",2013
"129",2013-01-24,"WII",0.420864078,"2.56403",0,0,1112,"Jan",2013
"130",2013-02-08,"WII",0.591025922,"2.84452",0,0,1150,"Feb",2013
"131",2013-02-25,"KINDLE",0.403185344,"3.05427",0,0,1200,"Feb",2013
"132",2013-03-09,"KINDLE",0.224515879,"1.25356",0,0,501,"Mar",2013
"133",2013-04-27,"BLACKBERRY_TABLET",709.451558,"648.73583",1554,144.402,300754,"Apr",2013
"134",2013-05-24,"ANDROID_TABLET",1131.148592,"1707.60304",1196,205.4,659482,"May",2013
"135",2013-06-01,"ANDROID_MOBILE",11834.259,"27821.85512",16494,4870,10401491,"Jun",2013
"136",2013-06-02,"COMPUTER",282332.3976,"694424.583",156082,585536,313766199,"Jun",2013
"137",2013-06-08,"ANDROID_TABLET",1236.644352,"1931.21046",1119,230,714204,"Jun",2013
"138",2013-06-23,"IPOD",197.9320762,"945.81647",737,2.01,281339,"Jun",2013
"139",2013-07-07,"IPOD",334.2859686,"1637.09924",1893,8.52,601269,"Jul",2013
"140",2013-09-23,"UNKNOWN",770.4262874,"2383.363313",1061,616.31,1088635,"Sep",2013
"141",2013-10-08,"BLACKBERRY_TABLET",906.9799165,"810.3375695",2191,373.34,304427,"Oct",2013
"142",2013-10-21,"ANDROID_TABLET",714.3064517,"1416.786681",1731,260.14,644089,"Oct",2013
"143",2013-11-05,"ANDROID_TABLET",1077.415201,"2430.189276",2168,178.043,980067,"Nov",2013
"144",2013-11-20,"IPOD",5.981103349,"4.15549",21,0,343,"Nov",2013
"145",2013-12-04,"IPOD",0.079647149,"0.34975",0,0,118,"Dec",2013
"146",2013-01-15,"UNKNOWN",145.5736304,"486.97284",101,41.79,208349,"Jan",2013
"147",2013-02-28,"BLACKBERRY",193.8456737,"514.77956",179,2,222894,"Feb",2013
"148",2013-03-13,"WINDOWS_MOBILE",112.4691066,"214.30364",93,12.47,86548,"Mar",2013
"149",2013-03-15,"IPHONE",541.5046984,"2193.47805",1226,129.792,840651,"Mar",2013
"150",2013-04-01,"WII",0.705807678,"3.19794",0,0,1264,"Apr",2013
"151",2013-04-17,"IPAD",3991.702673,"16524.29703",10190,907.022,7524034,"Apr",2013
"152",2013-04-24,"NULL",1.745805002,"3.62778",67,0,1544,"Apr",2013
"153",2013-04-28,"PSP",0.155904358,"0.61518",0,0,279,"Apr",2013
"154",2013-05-02,"KINDLE",0.24218399,"0.39854",0,0,155,"May",2013
"155",2013-05-08,"NULL",1.663482801,"3.9828",0,1,1832,"May",2013
"156",2013-05-16,"MOBILE",51.61523425,"215.14835",69,10,90857,"May",2013
"157",2013-06-20,"BLACKBERRY_TABLET",574.1441659,"511.21948",1089,76.363,214634,"Jun",2013
"158",2013-07-04,"BLACKBERRY_TABLET",479.272577,"603.94023",1725,99.2,223795,"Jul",2013
"159",2013-07-19,"GOOGLE_TV",52.45627074,"129.2197364",51,239.615,51909,"Jul",2013
"160",2013-07-19,"PALM",1.746116889,"5.36592",0,0,1752,"Jul",2013
"161",2013-08-01,"ANDROID_TABLET",809.6370107,"2201.817617",1903,1321.8,895167,"Aug",2013
"162",2013-08-28,"WII",1.322615322,"8.597467816",0,0,5127,"Aug",2013
"163",2013-09-29,"KINDLE",0.238495341,"1.16453",0,0,469,"Sep",2013
"164",2013-10-05,"NULL",244.9603247,"1074.485207",3034,0.5,455083,"Oct",2013
"165",2013-10-09,"PSP",0.10017977,"0.872374831",0,0,322,"Oct",2013
"166",2013-10-13,"BLACKBERRY",280.440726,"1580.397914",1028,25.25,577586,"Oct",2013
"167",2013-10-13,"MOBILE",13943.88352,"59189.1512",33940,4041.545,24785440,"Oct",2013
"168",2013-12-01,"BLACKBERRY_TABLET",536.5961619,"875.0156943",2125,64.1,323893,"Dec",2013
"169",2013-12-16,"GOOGLE_TV",63.03683511,"155.210634",29,16,62266,"Dec",2013
"170",2013-12-16,"PALM",2.50646096,"5.18393",3,0,1859,"Dec",2013
"171",2013-03-30,"COMPUTER",228044.6744,"536780.5672",118165,390088.318,248148351,"Mar",2013
"172",2013-04-13,"ANDROID_MOBILE",9147.952494,"23205.16597",14955,2081.214,8719674,"Apr",2013
"173",2013-04-14,"COMPUTER",231712.5091,"526573.7986",143096,326581.2196,239507323,"Apr",2013
"174",2013-04-21,"BLACKBERRY",125.1977489,"457.30621",147,7.05,221635,"Apr",2013
"175",2013-05-05,"BLACKBERRY",76.22067172,"390.37428",103,6,181535,"May",2013
"176",2013-05-19,"IPOD",174.5514876,"895.60237",686,13,363311,"May",2013
"177",2013-06-10,"IPAD",7983.886328,"20459.49142",10344,2060,8571806,"Jun",2013
"178",2013-06-21,"PSP",0.087343769,"0.45214",0,0,181,"Jun",2013
"179",2013-07-01,"NULL",4.913567137,"3.15738",8,0.9,5957,"Jul",2013
"180",2013-07-05,"PSP",0.078844648,"0.98033",0,0,402,"Jul",2013
"181",2013-08-19,"UNKNOWN",689.5428464,"1558.780515",1041,1091.19,727592,"Aug",2013
"182",2013-09-12,"GOOGLE_TV",27.14290822,"93.67429485",37,77.59,37732,"Sep",2013
"183",2013-09-12,"PALM",1.554150241,"5.1979",3,0,1771,"Sep",2013
"184",2013-10-16,"IPOD",273.9619386,"1442.685093",1059,5,573874,"Oct",2013
"185",2013-12-02,"PSP",0.276753592,"1.262972793",0,0,536,"Dec",2013
"186",2013-12-13,"TABLET",0.448876299,"1.14096",0,0,548,"Dec",2013
"187",2013-01-04,"GOOGLE_TV",19.93127427,"50.3085",13,2.6,19632,"Jan",2013
"188",2013-01-04,"PALM",2.167603553,"5.03455",1,0,1706,"Jan",2013
"189",2013-01-25,"WINDOWS_MOBILE",69.34799269,"200.9374",102,9,84608,"Jan",2013
"190",2013-01-27,"IPHONE",322.3371353,"2067.0721",1100,29.2,791414,"Jan",2013
"191",2013-02-09,"WINDOWS_MOBILE",78.224451,"241.38234",110,15.6,89489,"Feb",2013
"192",2013-02-13,"WII",0.51318762,"3.80418",0,0,1639,"Feb",2013
"193",2013-03-14,"KINDLE",0.145736478,"0.71343",0,0,256,"Mar",2013
"194",2013-03-28,"MOBILE",66.44111682,"222.67905",59,18,91004,"Mar",2013
"195",2013-05-16,"BLACKBERRY_TABLET",971.2209853,"841.28896",2463,177.724,336439,"May",2013
"196",2013-06-13,"ANDROID_TABLET",1268.510249,"3173.731334",1733,155.62,1229628,"Jun",2013
"197",2013-07-12,"IPOD",376.1109912,"1692.871695",2344,15,577390,"Jul",2013
"198",2013-10-13,"BLACKBERRY_TABLET",1007.222702,"932.2726205",2575,363.1,344221,"Oct",2013
"199",2013-10-28,"GOOGLE_TV",37.81061085,"133.07193",28,114.5,52808,"Oct",2013
"200",2013-10-28,"PALM",2.089119295,"5.03999",1,0,1608,"Oct",2013
"201",2013-11-10,"ANDROID_TABLET",6187.486033,"13014.41314",12552,2641.903,5215740,"Nov",2013
"202",2013-01-20,"UNKNOWN",181.2054138,"622.87998",170,97.06,272302,"Jan",2013
"203",2013-02-04,"UNKNOWN",162.026034,"716.42804",135,120,306653,"Feb",2013
"204",2013-02-25,"ANDROID_MOBILE",10096.88505,"25656.20596",13713,1854.21,9484208,"Feb",2013
"205",2013-02-26,"COMPUTER",213071.1606,"493432.8307",102215,122892.44,214952811,"Feb",2013
"206",2013-03-09,"ANDROID_MOBILE",5751.248612,"19046.79012",17966,1373.454,7282351,"Mar",2013
"207",2013-03-17,"BLACKBERRY",196.0564188,"599.83525",164,1.05,257240,"Mar",2013
"208",2013-03-20,"IPHONE",555.8672052,"2877.4188",1372,112.352,1095823,"Mar",2013
"209",2013-04-02,"WINDOWS_MOBILE",172.9217411,"306.95627",149,40.15,116823,"Apr",2013
"210",2013-04-04,"IPHONE",705.6057558,"3007.65594",1254,101.628,1150717,"Apr",2013
"211",2013-04-22,"IPAD",4296.675207,"16191.11736",11470,1290.85,7634587,"Apr",2013
"212",2013-05-06,"IPAD",4686.733969,"21604.34621",21830,1214.534,10893233,"May",2013
"213",2013-05-13,"NULL",3.11923498,"4.52561",2,0,2442,"May",2013
"214",2013-05-17,"PSP",0.099401344,"0.56783",0,0,214,"May",2013
"215",2013-05-21,"MOBILE",75.85251182,"225.80978",53,3,91469,"May",2013
"216",2013-06-05,"MOBILE",44.37011197,"173.39537",51,8,73231,"Jun",2013
"217",2013-07-24,"GOOGLE_TV",38.38176099,"120.0189365",48,189.6,47472,"Jul",2013
"218",2013-07-24,"PALM",1.536809329,"3.74272",2,0,1342,"Jul",2013
"219",2013-08-08,"GOOGLE_TV",56.96359041,"113.66551",114,42.301,39683,"Aug",2013
"220",2013-08-08,"PALM",1.510515546,"3.04307",1,5,1124,"Aug",2013
"221",2013-08-29,"WINDOWS_MOBILE",355.4789929,"680.8016782",313,34,273338,"Aug",2013
"222",2013-09-17,"WII",0.901333576,"7.772477879",0,0,4729,"Sep",2013
"223",2013-10-03,"IPAD",6460.641859,"22723.06344",17070,926.12,11100687,"Oct",2013
"224",2013-10-10,"NULL",319.1320668,"1507.021468",2520,1,521415,"Oct",2013
"225",2013-10-14,"PSP",0.267220238,"1.79163",0,0,722,"Oct",2013
"226",2013-11-02,"BLACKBERRY",168.8384167,"919.883378",594,27.001,378580,"Nov",2013
"227",2013-11-02,"MOBILE",7616.297798,"27438.22562",23118,2437.213,11735399,"Nov",2013
"228",2013-11-09,"TABLET",0.022968545,"0.10079",0,0,34,"Nov",2013
"229",2013-11-28,"UNKNOWN",1199.820983,"3155.130031",1787,6765.7,1390431,"Nov",2013
"230",2013-12-21,"GOOGLE_TV",80.42933051,"200.677838",49,19,75643,"Dec",2013
"231",2013-12-21,"PALM",2.285314434,"4.43092",4,0,1510,"Dec",2013
"232",2013-01-09,"WII",0.421157403,"2.46395",0,0,1164,"Jan",2013
"233",2013-01-26,"KINDLE",0.11608054,"0.99557",0,0,451,"Jan",2013
"234",2013-03-28,"BLACKBERRY_TABLET",792.3476215,"697.32749",1737,19.9,274606,"Mar",2013
"235",2013-04-25,"ANDROID_TABLET",787.8643775,"1670.22831",1084,110.294,667526,"Apr",2013
"236",2013-05-02,"ANDROID_MOBILE",7277.401118,"19664.12505",11794,1635.889,7365027,"May",2013
"237",2013-05-03,"COMPUTER",236782.7911,"533911.6689",133125,336606.096,261563084,"May",2013
"238",2013-05-09,"ANDROID_TABLET",910.4305318,"2372.90956",1219,208.582,984527,"May",2013
"239",2013-05-10,"BLACKBERRY",107.7069695,"526.47315",206,13.3,246791,"May",2013
"240",2013-05-24,"IPOD",190.0927039,"652.38118",460,2,289255,"May",2013
"241",2013-06-08,"IPOD",235.8825318,"888.5763",447,9,354215,"Jun",2013
"242",2013-07-10,"PSP",0.154551071,"1.03871",1,0,393,"Jul",2013
"243",2013-08-24,"UNKNOWN",1023.650906,"2201.485622",1200,2557.136,929022,"Aug",2013
"244",2013-09-08,"UNKNOWN",656.7431126,"1867.086564",1118,1318.433,816358,"Sep",2013
"245",2013-09-29,"ANDROID_MOBILE",15160.8207,"46023.11528",34239,2034.105,20133053,"Sep",2013
"246",2013-10-06,"ANDROID_TABLET",1200.162951,"2762.060549",1724,136.71,803994,"Oct",2013
"247",2013-10-21,"IPOD",157.2054741,"934.2867716",1297,12.1,386121,"Oct",2013
"248",2013-11-05,"IPOD",246.1335719,"1232.484953",2272,12,618474,"Nov",2013
"249",2013-01-29,"BLACKBERRY",46.30949442,"190.70295",47,3.33,86846,"Jan",2013
"250",2013-01-30,"WINDOWS_MOBILE",50.43335055,"184.73189",70,10.2,72402,"Jan",2013
"251",2013-02-14,"WINDOWS_MOBILE",121.8809013,"308.64244",147,61.1,121390,"Feb",2013
"252",2013-02-16,"IPHONE",560.6770762,"2653.61121",1363,156,1019467,"Feb",2013
"253",2013-03-02,"WII",3.530930316,"10.05443",1,0,4102,"Mar",2013
"254",2013-03-18,"IPAD",6554.289064,"27125.88088",34003,1936.258,13191304,"Mar",2013
"255",2013-03-25,"NULL",1.816227268,"4.04119",119,1,1747,"Mar",2013
"256",2013-03-29,"PSP",0.481695416,"2.35489",0,0,939,"Mar",2013
"257",2013-04-03,"KINDLE",0.094622763,"0.65686",0,0,258,"Apr",2013
"258",2013-04-09,"NULL",1.255614508,"3.52141",140,3,1422,"Apr",2013
"259",2013-04-17,"MOBILE",53.1141283,"185.46972",41,68,75915,"Apr",2013
"260",2013-05-21,"BLACKBERRY_TABLET",775.479521,"640.86842",1770,92.726,272005,"May",2013
"261",2013-06-05,"BLACKBERRY_TABLET",492.7988828,"479.09189",822,73,188693,"Jun",2013
"262",2013-07-02,"ANDROID_TABLET",679.5185154,"1988.886022",1337,137.02,832142,"Jul",2013
"263",2013-07-29,"WII",0.472398922,"3.443006",1,0,1560,"Jul",2013
"264",2013-08-01,"IPOD",457.9470455,"2885.440094",1911,109.31,1144030,"Aug",2013
"265",2013-11-02,"BLACKBERRY_TABLET",901.722261,"1133.709191",2721,445.6,404924,"Nov",2013
"266",2013-11-17,"GOOGLE_TV",42.61144502,"147.21423",41,112.55,55690,"Nov",2013
"267",2013-11-17,"PALM",2.797119046,"6.511884369",3,0,2035,"Nov",2013
"268",2013-12-26,"WII",3.519865018,"9.148596499",1,0,4480,"Dec",2013
"269",2013-03-14,"ANDROID_MOBILE",5889.644476,"14067.51746",15126,3531.368,5492129,"Mar",2013
"270",2013-03-15,"COMPUTER",220209.3486,"518758.7168",105402,351862.576,229619398,"Mar",2013
"271",2013-03-22,"BLACKBERRY",196.3441305,"533.756",115,2,238946,"Mar",2013
"272",2013-04-06,"BLACKBERRY",68.61711747,"364.86192",120,6.05,172696,"Apr",2013
"273",2013-05-11,"IPAD",7089.010576,"30227.53506",18295,1672.076,14016299,"May",2013
"274",2013-05-22,"PSP",0.228055429,"0.92747",1,0,569,"May",2013
"275",2013-06-02,"NULL",1.280273004,"4.31172",2,0,1569,"Jun",2013
"276",2013-06-06,"PSP",0.118435964,"0.74325",0,0,345,"Jun",2013
"277",2013-06-10,"MOBILE",42.50747416,"177.35228",40,1,73820,"Jun",2013
"278",2013-08-13,"GOOGLE_TV",51.7913024,"112.62204",80,162.59,41938,"Aug",2013
"279",2013-08-13,"PALM",1.708382752,"3.22456",1,0,1229,"Aug",2013
"280",2013-09-18,"WINDOWS_MOBILE",362.296798,"950.4149356",424,18.61,356213,"Sep",2013
"281",2013-09-22,"WII",2.478813923,"14.44237363",1,0,7074,"Sep",2013
"282",2013-11-03,"PSP",0.240534996,"1.9857",0,0,702,"Nov",2013
"283",2013-11-14,"TABLET",0.002335877,"0.00275",0,0,2,"Nov",2013
"284",2013-12-17,"UNKNOWN",2137.869081,"4479.961831",1191,3266.76,1931255,"Dec",2013
"285",2013-01-14,"WII",0.35291361,"2.1859",1,0,1038,"Jan",2013
"286",2013-01-31,"KINDLE",0.123316051,"0.58087",0,0,340,"Jan",2013
"287",2013-02-15,"KINDLE",0.328404751,"1.63544",0,0,655,"Feb",2013
"288",2013-04-17,"BLACKBERRY_TABLET",938.266188,"740.9187",1845,84.356,289599,"Apr",2013
"289",2013-04-30,"ANDROID_TABLET",887.8626581,"2386.51903",1255,123.126,962384,"Apr",2013
"290",2013-05-14,"ANDROID_TABLET",1006.082878,"2376.28145",1402,128.224,985821,"May",2013
"291",2013-06-13,"IPOD",130.4538576,"548.28209",294,2,180425,"Jun",2013
"292",2013-09-13,"UNKNOWN",574.0339078,"1620.141006",1040,1430.79,747185,"Sep",2013
"293",2013-10-11,"ANDROID_TABLET",1263.270454,"2616.620215",3644,187.55,744361,"Oct",2013
"294",2013-11-10,"IPOD",0.151300376,"0.160719962",2,0,76,"Nov",2013
