date,device,cost,rfi_revenue,clicks,conversions,impressions
20130701,COMPUTER,210397.1396,522183.8111,104338,379674.095,240511544
20130707,ANDROID_TABLET,957.3915613,2746.03683,1812,277.565,1113542
20130722,IPOD,363.4769246,1742.717267,2411,10.05,697117
20130806,IPOD,465.7859,2572.634534,1557,17.17,1352854
20131023,BLACKBERRY_TABLET,992.4978324,885.9680703,1786,327.71,324729
20131107,BLACKBERRY_TABLET,831.8524306,822.2651347,1954,299.05,316414
20131120,ANDROID_TABLET,5044.379043,10648.51243,8566,1801.42,4255865
20131204,ANDROID_TABLET,5723.063122,11477.46051,8735,1713.52,5060478
20130130,UNKNOWN,131.8095996,1009.51661,386,80.6,400866
20130214,UNKNOWN,353.9019728,1430.72837,459,267.12,579260
20130319,ANDROID_MOBILE,5582.160851,16735.74029,14617,2479.106,6898062
20130327,BLACKBERRY,143.6836054,404.32456,99,8,194555
20130330,IPHONE,794.5148883,2029.74832,1155,231.11,777146
20130412,WINDOWS_MOBILE,136.7243836,292.84738,148,10,114724
20130414,IPHONE,1117.988804,4180.99303,5115,467.32,1599716
20130516,IPAD,5322.505035,16014.99851,9963,1212.638,7486194
20130523,NULL,2.498796504,5.63812,1,2,2493
20130527,PSP,0.672741388,0.72776,0,0,305
20130531,MOBILE,69.07695036,280.58933,79,5,108149
20130601,KINDLE,0.276493486,1.10254,0,0,383
20130607,NULL,1.699668293,3.64465,2,0,1728
20130615,MOBILE,65.27301788,249.49917,123,7,99515
20130803,BLACKBERRY_TABLET,590.6234469,629.704192,1795,250.09,280039
20130818,GOOGLE_TV,49.67653518,132.778501,70,126.1,51189
20130818,PALM,1.1422,2.953703,3,0,1123
20130927,WII,1.823614544,10.90195207,0,0,5949
20131013,IPAD,7731.888762,27600.41944,18607,3753.28,11915503
20131020,NULL,104.3312528,404.3633018,599,0,157809
20131024,PSP,0.289060329,1.204921801,0,0,472
20131104,NULL,225.0429595,1912.446583,1159,0,754466
20131108,PSP,0.097174375,1.08423,0,0,390
20131112,BLACKBERRY,226.5814174,1120.23805,557,26.01,501628
20131112,MOBILE,128.5629733,527.452487,270,15.7,216008
20131119,TABLET,0.006418261,0.02835,0,0,6
20131231,GOOGLE_TV,68.85310586,172.7609394,41,78.3,74326
20131231,PALM,1.207547809,2.89801,1,0,1051
20130119,WII,0.531098591,3.31876,1,0,1420
20130512,ANDROID_MOBILE,10349.18987,27047.06724,17717,2479.626,10054615
20130513,COMPUTER,246334.4565,562096.9118,137498,295510.976,264396599
20130519,ANDROID_TABLET,1089.914444,1925.12895,1387,305.838,728753
20130520,BLACKBERRY,161.8083154,629.97893,375,18,307201
20130604,BLACKBERRY,121.3626355,492.52482,634,7,236775
20130618,IPOD,144.9507911,781.59931,529,8,229439
20130720,PSP,0.254538398,1.75082,1,0,760
20130804,PSP,0.156948377,1.02005,0,0,383
20130918,UNKNOWN,861.0735507,2339.279989,1145,529.547,1059530
20131010,COMPUTER,258656.3005,652938.5834,154386,902095.42,290464643
20131016,ANDROID_TABLET,1063.804273,2401.326981,1611,729.49,746381
20131031,IPOD,184.2926426,990.9539856,1757,9.854,416676
20131115,IPOD,0.005759527,0.03455,0,0,14
20130203,GOOGLE_TV,27.13877628,88.5453,8,12,35340
20130203,PALM,1.456763036,4.04735,0,0,1339
20130224,WINDOWS_MOBILE,240.3327467,517.76504,214,71.6,185437
20130226,IPHONE,1514.169249,5173.49389,2351,166.6,1893063
20130308,WINDOWS_MOBILE,127.5671805,268.31996,100,14.1,101984
20130312,WII,0.917625756,4.73945,0,0,1863
20130328,IPAD,5290.584722,14685.66827,11925,1513.686,7844043
20130413,KINDLE,0.297952601,1.21735,0,0,461
20130419,NULL,1.939625988,4.36149,75,7,2166
20130427,MOBILE,71.56426374,266.94422,55,24,107874
20130531,BLACKBERRY_TABLET,483.1277556,500.40109,1198,109,219270
20130615,BLACKBERRY_TABLET,526.784941,425.2494,950,83.84,200767
20130712,ANDROID_TABLET,749.4665924,2004.698618,1624,268.195,793116
20130811,IPOD,360.3053362,2343.324399,1526,29.04,984320
20131008,BLACKBERRY,315.3468815,1498.361121,990,35.06,584702
20131008,MOBILE,12332.52752,51286.80329,31395,2629.4,21442638
20131112,BLACKBERRY_TABLET,803.2792748,795.3506207,1686,185.35,330784
20131127,GOOGLE_TV,46.12191665,163.1726313,36,35,63757
20131127,PALM,3.33380688,4.85656,0,0,2099
20130303,UNKNOWN,670.0026665,1971.09372,1110,369.402,823001
20130324,ANDROID_MOBILE,7778.641892,24139.8937,35541,2179.854,9547462
20130325,COMPUTER,221615.1595,509983.9215,105220,447770.576,254404264
20130408,ANDROID_MOBILE,7019.428494,18661.41862,10723,1402.4908,7211547
20130409,COMPUTER,199974.3387,459204.2407,105747,274230.5436,196106400
20130416,BLACKBERRY,136.0030716,458.95444,157,19,215821
20130501,WINDOWS_MOBILE,194.7780204,434.16386,200,16.018,159314
20130503,IPHONE,3911.808536,7215.10851,12616,112.688,2216922
20130521,IPAD,5325.137359,11493.86783,4886,1275.796,5005691
20130605,IPAD,7066.724008,17261.92405,8828,1502,7147177
20130612,NULL,2.361020396,4.87005,2,1,2209
20130616,PSP,0.103014919,0.49468,0,0,193
20130620,MOBILE,96.83891513,290.98402,184,2,114740
20130704,MOBILE,101.2269444,420.238994,477,13.5,166847
20130823,GOOGLE_TV,54.23008447,124.78392,84,163.101,50147
20130823,PALM,1.133211681,3.08406,3,7,1206
20130907,GOOGLE_TV,28.66764645,97.298958,48,37.502,37187
20130907,PALM,1.347695367,4.05332,2,0,1436
20130928,WINDOWS_MOBILE,484.098555,1356.514373,552,47.42,522762
20131102,IPAD,3321.921276,9970.982617,6898,1102.643,4492201
20131113,PSP,0.166383803,1.14077,0,0,435
20131124,TABLET,0.026217859,0.04868,0,0,16
20131201,BLACKBERRY,173.9984189,1134.097261,505,13.22,460732
20131201,MOBILE,354.5471302,1218.402393,852,100.02,474008
20131208,TABLET,0.30007222,0.76002,1,0,312
20131227,UNKNOWN,2197.391493,3933.117152,1057,7796.277,1891050
20130124,WII,0.420864078,2.56403,0,0,1112
20130208,WII,0.591025922,2.84452,0,0,1150
20130225,KINDLE,0.403185344,3.05427,0,0,1200
20130309,KINDLE,0.224515879,1.25356,0,0,501
20130427,BLACKBERRY_TABLET,709.451558,648.73583,1554,144.402,300754
20130524,ANDROID_TABLET,1131.148592,1707.60304,1196,205.4,659482
20130601,ANDROID_MOBILE,11834.259,27821.85512,16494,4870,10401491
20130602,COMPUTER,282332.3976,694424.583,156082,585536,313766199
20130608,ANDROID_TABLET,1236.644352,1931.21046,1119,230,714204
20130623,IPOD,197.9320762,945.81647,737,2.01,281339
20130707,IPOD,334.2859686,1637.09924,1893,8.52,601269
20130923,UNKNOWN,770.4262874,2383.363313,1061,616.31,1088635
20131008,BLACKBERRY_TABLET,906.9799165,810.3375695,2191,373.34,304427
20131021,ANDROID_TABLET,714.3064517,1416.786681,1731,260.14,644089
20131105,ANDROID_TABLET,1077.415201,2430.189276,2168,178.043,980067
20131120,IPOD,5.981103349,4.15549,21,0,343
20131204,IPOD,0.079647149,0.34975,0,0,118
20130115,UNKNOWN,145.5736304,486.97284,101,41.79,208349
20130228,BLACKBERRY,193.8456737,514.77956,179,2,222894
20130313,WINDOWS_MOBILE,112.4691066,214.30364,93,12.47,86548
20130315,IPHONE,541.5046984,2193.47805,1226,129.792,840651
20130401,WII,0.705807678,3.19794,0,0,1264
20130417,IPAD,3991.702673,16524.29703,10190,907.022,7524034
20130424,NULL,1.745805002,3.62778,67,0,1544
20130428,PSP,0.155904358,0.61518,0,0,279
20130502,KINDLE,0.24218399,0.39854,0,0,155
20130508,NULL,1.663482801,3.9828,0,1,1832
20130516,MOBILE,51.61523425,215.14835,69,10,90857
20130620,BLACKBERRY_TABLET,574.1441659,511.21948,1089,76.363,214634
20130704,BLACKBERRY_TABLET,479.272577,603.94023,1725,99.2,223795
20130719,GOOGLE_TV,52.45627074,129.2197364,51,239.615,51909
20130719,PALM,1.746116889,5.36592,0,0,1752
20130801,ANDROID_TABLET,809.6370107,2201.817617,1903,1321.8,895167
20130828,WII,1.322615322,8.597467816,0,0,5127
20130929,KINDLE,0.238495341,1.16453,0,0,469
20131005,NULL,244.9603247,1074.485207,3034,0.5,455083
20131009,PSP,0.10017977,0.872374831,0,0,322
20131013,BLACKBERRY,280.440726,1580.397914,1028,25.25,577586
20131013,MOBILE,13943.88352,59189.1512,33940,4041.545,24785440
20131201,BLACKBERRY_TABLET,536.5961619,875.0156943,2125,64.1,323893
20131216,GOOGLE_TV,63.03683511,155.210634,29,16,62266
20131216,PALM,2.50646096,5.18393,3,0,1859
20130330,COMPUTER,228044.6744,536780.5672,118165,390088.318,248148351
20130413,ANDROID_MOBILE,9147.952494,23205.16597,14955,2081.214,8719674
20130414,COMPUTER,231712.5091,526573.7986,143096,326581.2196,239507323
20130421,BLACKBERRY,125.1977489,457.30621,147,7.05,221635
20130505,BLACKBERRY,76.22067172,390.37428,103,6,181535
20130519,IPOD,174.5514876,895.60237,686,13,363311
20130610,IPAD,7983.886328,20459.49142,10344,2060,8571806
20130621,PSP,0.087343769,0.45214,0,0,181
20130701,NULL,4.913567137,3.15738,8,0.9,5957
20130705,PSP,0.078844648,0.98033,0,0,402
20130819,UNKNOWN,689.5428464,1558.780515,1041,1091.19,727592
20130912,GOOGLE_TV,27.14290822,93.67429485,37,77.59,37732
20130912,PALM,1.554150241,5.1979,3,0,1771
20131016,IPOD,273.9619386,1442.685093,1059,5,573874
20131202,PSP,0.276753592,1.262972793,0,0,536
20131213,TABLET,0.448876299,1.14096,0,0,548
20130104,GOOGLE_TV,19.93127427,50.3085,13,2.6,19632
20130104,PALM,2.167603553,5.03455,1,0,1706
20130125,WINDOWS_MOBILE,69.34799269,200.9374,102,9,84608
20130127,IPHONE,322.3371353,2067.0721,1100,29.2,791414
20130209,WINDOWS_MOBILE,78.224451,241.38234,110,15.6,89489
20130213,WII,0.51318762,3.80418,0,0,1639
20130314,KINDLE,0.145736478,0.71343,0,0,256
20130328,MOBILE,66.44111682,222.67905,59,18,91004
20130516,BLACKBERRY_TABLET,971.2209853,841.28896,2463,177.724,336439
20130613,ANDROID_TABLET,1268.510249,3173.731334,1733,155.62,1229628
20130712,IPOD,376.1109912,1692.871695,2344,15,577390
20131013,BLACKBERRY_TABLET,1007.222702,932.2726205,2575,363.1,344221
20131028,GOOGLE_TV,37.81061085,133.07193,28,114.5,52808
20131028,PALM,2.089119295,5.03999,1,0,1608
20131110,ANDROID_TABLET,6187.486033,13014.41314,12552,2641.903,5215740
20130120,UNKNOWN,181.2054138,622.87998,170,97.06,272302
20130204,UNKNOWN,162.026034,716.42804,135,120,306653
20130225,ANDROID_MOBILE,10096.88505,25656.20596,13713,1854.21,9484208
20130226,COMPUTER,213071.1606,493432.8307,102215,122892.44,214952811
20130309,ANDROID_MOBILE,5751.248612,19046.79012,17966,1373.454,7282351
20130317,BLACKBERRY,196.0564188,599.83525,164,1.05,257240
20130320,IPHONE,555.8672052,2877.4188,1372,112.352,1095823
20130402,WINDOWS_MOBILE,172.9217411,306.95627,149,40.15,116823
20130404,IPHONE,705.6057558,3007.65594,1254,101.628,1150717
20130422,IPAD,4296.675207,16191.11736,11470,1290.85,7634587
20130506,IPAD,4686.733969,21604.34621,21830,1214.534,10893233
20130513,NULL,3.11923498,4.52561,2,0,2442
20130517,PSP,0.099401344,0.56783,0,0,214
20130521,MOBILE,75.85251182,225.80978,53,3,91469
20130605,MOBILE,44.37011197,173.39537,51,8,73231
20130724,GOOGLE_TV,38.38176099,120.0189365,48,189.6,47472
20130724,PALM,1.536809329,3.74272,2,0,1342
20130808,GOOGLE_TV,56.96359041,113.66551,114,42.301,39683
20130808,PALM,1.510515546,3.04307,1,5,1124
20130829,WINDOWS_MOBILE,355.4789929,680.8016782,313,34,273338
20130917,WII,0.901333576,7.772477879,0,0,4729
20131003,IPAD,6460.641859,22723.06344,17070,926.12,11100687
20131010,NULL,319.1320668,1507.021468,2520,1,521415
20131014,PSP,0.267220238,1.79163,0,0,722
20131102,BLACKBERRY,168.8384167,919.883378,594,27.001,378580
20131102,MOBILE,7616.297798,27438.22562,23118,2437.213,11735399
20131109,TABLET,0.022968545,0.10079,0,0,34
20131128,UNKNOWN,1199.820983,3155.130031,1787,6765.7,1390431
20131221,GOOGLE_TV,80.42933051,200.677838,49,19,75643
20131221,PALM,2.285314434,4.43092,4,0,1510
20130109,WII,0.421157403,2.46395,0,0,1164
20130126,KINDLE,0.11608054,0.99557,0,0,451
20130328,BLACKBERRY_TABLET,792.3476215,697.32749,1737,19.9,274606
20130425,ANDROID_TABLET,787.8643775,1670.22831,1084,110.294,667526
20130502,ANDROID_MOBILE,7277.401118,19664.12505,11794,1635.889,7365027
20130503,COMPUTER,236782.7911,533911.6689,133125,336606.096,261563084
20130509,ANDROID_TABLET,910.4305318,2372.90956,1219,208.582,984527
20130510,BLACKBERRY,107.7069695,526.47315,206,13.3,246791
20130524,IPOD,190.0927039,652.38118,460,2,289255
20130608,IPOD,235.8825318,888.5763,447,9,354215
20130710,PSP,0.154551071,1.03871,1,0,393
20130824,UNKNOWN,1023.650906,2201.485622,1200,2557.136,929022
20130908,UNKNOWN,656.7431126,1867.086564,1118,1318.433,816358
20130929,ANDROID_MOBILE,15160.8207,46023.11528,34239,2034.105,20133053
20131006,ANDROID_TABLET,1200.162951,2762.060549,1724,136.71,803994
20131021,IPOD,157.2054741,934.2867716,1297,12.1,386121
20131105,IPOD,246.1335719,1232.484953,2272,12,618474
20130129,BLACKBERRY,46.30949442,190.70295,47,3.33,86846
20130130,WINDOWS_MOBILE,50.43335055,184.73189,70,10.2,72402
20130214,WINDOWS_MOBILE,121.8809013,308.64244,147,61.1,121390
20130216,IPHONE,560.6770762,2653.61121,1363,156,1019467
20130302,WII,3.530930316,10.05443,1,0,4102
20130318,IPAD,6554.289064,27125.88088,34003,1936.258,13191304
20130325,NULL,1.816227268,4.04119,119,1,1747
20130329,PSP,0.481695416,2.35489,0,0,939
20130403,KINDLE,0.094622763,0.65686,0,0,258
20130409,NULL,1.255614508,3.52141,140,3,1422
20130417,MOBILE,53.1141283,185.46972,41,68,75915
20130521,BLACKBERRY_TABLET,775.479521,640.86842,1770,92.726,272005
20130605,BLACKBERRY_TABLET,492.7988828,479.09189,822,73,188693
20130702,ANDROID_TABLET,679.5185154,1988.886022,1337,137.02,832142
20130729,WII,0.472398922,3.443006,1,0,1560
20130801,IPOD,457.9470455,2885.440094,1911,109.31,1144030
20131102,BLACKBERRY_TABLET,901.722261,1133.709191,2721,445.6,404924
20131117,GOOGLE_TV,42.61144502,147.21423,41,112.55,55690
20131117,PALM,2.797119046,6.511884369,3,0,2035
20131226,WII,3.519865018,9.148596499,1,0,4480
20130314,ANDROID_MOBILE,5889.644476,14067.51746,15126,3531.368,5492129
20130315,COMPUTER,220209.3486,518758.7168,105402,351862.576,229619398
20130322,BLACKBERRY,196.3441305,533.756,115,2,238946
20130406,BLACKBERRY,68.61711747,364.86192,120,6.05,172696
20130511,IPAD,7089.010576,30227.53506,18295,1672.076,14016299
20130522,PSP,0.228055429,0.92747,1,0,569
20130602,NULL,1.280273004,4.31172,2,0,1569
20130606,PSP,0.118435964,0.74325,0,0,345
20130610,MOBILE,42.50747416,177.35228,40,1,73820
20130813,GOOGLE_TV,51.7913024,112.62204,80,162.59,41938
20130813,PALM,1.708382752,3.22456,1,0,1229
20130918,WINDOWS_MOBILE,362.296798,950.4149356,424,18.61,356213
20130922,WII,2.478813923,14.44237363,1,0,7074
20131103,PSP,0.240534996,1.9857,0,0,702
20131114,TABLET,0.002335877,0.00275,0,0,2
20131217,UNKNOWN,2137.869081,4479.961831,1191,3266.76,1931255
20130114,WII,0.35291361,2.1859,1,0,1038
20130131,KINDLE,0.123316051,0.58087,0,0,340
20130215,KINDLE,0.328404751,1.63544,0,0,655
20130417,BLACKBERRY_TABLET,938.266188,740.9187,1845,84.356,289599
20130430,ANDROID_TABLET,887.8626581,2386.51903,1255,123.126,962384
20130514,ANDROID_TABLET,1006.082878,2376.28145,1402,128.224,985821
20130613,IPOD,130.4538576,548.28209,294,2,180425
20130913,UNKNOWN,574.0339078,1620.141006,1040,1430.79,747185
20131011,ANDROID_TABLET,1263.270454,2616.620215,3644,187.55,744361
20131110,IPOD,0.151300376,0.160719962,2,0,76
20130105,UNKNOWN,142.9677122,419.31832,86,69.6,172067
20130126,ANDROID_MOBILE,4212.401201,13830.30963,9502,1007.85,5129158
20130127,COMPUTER,136176.6086,336493.296,104711,98833.6,149724409
20130218,BLACKBERRY,72.80384668,252.62833,82,3,114653
20130221,IPHONE,705.7673565,2724.55676,1142,162.65,1024981
20130303,WINDOWS_MOBILE,163.9910334,429.621,209,16.05,161279
20130305,IPHONE,693.3982201,3370.42113,1243,139.48,1279349
20130323,IPAD,5668.222477,15362.88249,26746,1740.24,8067348
20130330,NULL,0.991396596,3.06956,73,0,1043
20130407,IPAD,3644.925333,15708.44807,11012,1040.5472,7436751
20130414,NULL,1.000358992,3.16156,118,1,1282
20130418,PSP,0.102240438,0.50163,0,0,254
20130422,MOBILE,57.48128186,191.98446,61,7,81317
20130506,MOBILE,45.52351655,199.01126,70,26,85770
20130610,BLACKBERRY_TABLET,568.1096517,460.91578,983,92,197173
20130625,GOOGLE_TV,31.91557304,89.61589,14,105.6,34933
20130625,PALM,1.232574966,3.83763,0,0,1460
20130709,GOOGLE_TV,51.22929472,118.37267,28,48.204,51385
20130709,PALM,1.542519849,4.00962,1,0,1528
20130818,WII,0.735921665,5.562861052,3,0,3409
20130919,KINDLE,0.182890885,0.86571,0,0,353
20131003,BLACKBERRY,337.9722105,1179.56682,656,15.14,560700
20131003,MOBILE,9179.679276,42039.23065,26609,1107.57,18068924
20131029,UNKNOWN,1092.334599,2682.346464,998,3533.384,1238535
20131122,GOOGLE_TV,41.39497449,138.4278932,26,38,53190
20131122,PALM,3.198656922,6.04599,2,0,2053
20131206,GOOGLE_TV,49.62723318,144.8174479,30,43,59336
20131206,PALM,2.204964626,4.73843,4,0,1750
20131227,WINDOWS_MOBILE,1377.469586,2559.977361,1180,32.074,1002828
20131229,IPHONE,29464.24989,89660.02153,69551,3870.7135,38258917
20131231,WII,1.33602102,6.447175653,0,0,2863
20130320,COMPUTER,226454.6352,530012.9437,94402,357372.666,247919630
20130326,ANDROID_TABLET,1350.480423,4320.05943,6567,354.512,1712825
20130403,ANDROID_MOBILE,8642.273124,19054.90217,10756,3522.6536,7422759
20130404,COMPUTER,200778.2818,480183.0445,115947,307625.2288,241972816
20130411,BLACKBERRY,75.13242073,308.67287,101,9,153796
20130425,IPOD,152.312703,330.95353,640,61.01,113546
20130509,IPOD,147.0089402,626.19893,521,21.01,258887
20130611,PSP,0.088807938,0.22585,0,0,90
20130725,UNKNOWN,572.5134131,1811.88944,1096,1989.637,781729
20130809,UNKNOWN,625.2473938,1546.263834,1102,1808.111,647285
20130902,GOOGLE_TV,33.68830578,99.8513,39,65.078,39191
20130902,PALM,1.389695718,3.10316,1,0,1112
20130923,WINDOWS_MOBILE,352.088628,999.3158974,391,43.86,364652
20130925,IPHONE,4025.816348,15519.41581,14913,105.89,6531743
20131006,IPOD,333.416629,1675.55958,2853,5.02,717130
20131203,TABLET,0.31009636,1.58839,5,0,672
20131222,UNKNOWN,1854.873937,3606.732067,967,3523.09,1687475
20130115,WINDOWS_MOBILE,55.54829518,166.09605,79,3.16,65334
20130117,IPHONE,362.6104843,2308.24759,1393,66.04,862411
20130203,WII,1.617445018,3.89027,2,0,1516
20130219,IPAD,2619.648776,12015.04436,6365,1781.52,5435458
20130220,KINDLE,0.29406331,1.83433,0,0,624
20130226,NULL,1.73442373,4.99302,64,0,2056
20130304,KINDLE,0.367894017,3.24304,0,0,1340
20130318,MOBILE,59.72601963,228.61175,50,6,91282
20130422,BLACKBERRY_TABLET,741.9360641,701.82863,1788,144.67,291489
20130506,BLACKBERRY_TABLET,672.2516379,601.19559,1570,170.89,260980
20130603,ANDROID_TABLET,796.5775277,1404.04777,892,203,574143
20130702,IPOD,382.2758046,1380.07196,1699,8.5,491507
20131003,BLACKBERRY_TABLET,807.560637,908.4579402,2229,228.34,340453
20131018,GOOGLE_TV,43.63620718,139.5996855,26,143.2,52512
20131018,PALM,2.133478153,5.14236,5,0,1809
20131127,WII,2.777320497,8.588701841,3,0,4609
20131228,KINDLE,1.049058623,3.09674,0,0,1174
20130110,UNKNOWN,121.2238507,293.08324,57,60.23,122346
20130131,ANDROID_MOBILE,3789.087588,10612.55016,7379,1000.82,3899275
20130215,ANDROID_MOBILE,5169.476479,14937.66106,9481,1630.1,5768683
20130216,COMPUTER,166507.7024,378794.8411,95529,138252.029,182451610
20130223,BLACKBERRY,116.7945619,341.37559,138,3,148737
20130307,BLACKBERRY,100.5624984,373.48993,110,16,178745
20130310,IPHONE,366.1385314,1908.61849,924,95.39,776447
20130412,IPAD,2682.684431,14344.17078,8588,772.4916,6840349
20130423,PSP,0.174136644,0.31211,0,0,135
20130503,NULL,1.188726251,3.53876,3,0,1477
20130507,PSP,0.084712549,0.39653,0,0,228
20130511,MOBILE,65.50615997,273.64407,107,9,115963
20130630,GOOGLE_TV,62.03243184,143.8705,26,106.361,57022
20130630,PALM,1.703097301,4.30324,0,0,1450
20130714,GOOGLE_TV,79.89496048,167.51834,27,306.007,70402
20130714,PALM,1.795766894,5.11388,1,0,1828
20130819,WINDOWS_MOBILE,303.3650284,646.8264283,301,69.65,245354
20130823,WII,1.152578857,10.03701002,1,0,5952
20130907,WII,0.751868587,7.946296163,2,0,4852
20130924,KINDLE,0.34041651,1.92134,0,0,704
20131004,PSP,0.277273698,2.75223,0,0,1044
20131118,UNKNOWN,1118.113806,3041.012696,814,4771.89,1332258
20131211,GOOGLE_TV,72.12247577,155.0129355,27,58.07,63404
20131211,PALM,3.221813778,5.58139,2,0,2067
20130116,KINDLE,0.088071278,0.59987,0,0,244
20130318,BLACKBERRY_TABLET,407.7117031,516.91325,1129,35.752,221488
20130331,ANDROID_TABLET,923.1531205,2009.02593,1283,206.0276,974679
20130415,ANDROID_TABLET,1228.138886,2223.39471,1524,263.4472,912241
20130430,IPOD,216.5027637,330.17325,491,38,92335
20130514,IPOD,144.9339425,773.1516,818,10.004,318738
20130730,UNKNOWN,646.8397875,1819.945771,1076,4588.458,776983
20130814,UNKNOWN,700.3024355,1658.682253,1300,3152.1,710938
20130919,ANDROID_MOBILE,19873.93881,52581.20038,39037,3327.21,21158142
20130927,BLACKBERRY,392.7948146,1702.273284,685,13.13,648005
20130930,IPHONE,3151.00252,14712.88759,12757,37.21,6504755
20131011,IPOD,286.0652885,1477.841694,2045,1,594025
20130119,BLACKBERRY,34.66891433,157.13235,48,2,70603
20130120,WINDOWS_MOBILE,66.42928459,214.9357,101,13.11,82171
20130122,IPHONE,321.0396681,1802.36044,1192,44.41,714922
20130204,WINDOWS_MOBILE,68.60451316,189.34654,82,24.1,72288
20130206,IPHONE,342.9210429,1596.92442,895,103.85,625451
20130224,IPAD,4035.716668,17147.27356,6999,1867.78,7290788
20130308,IPAD,4957.410139,17160.79834,20161,2092.68,8791222
20130315,NULL,1.595061654,3.99521,91,1,1690
20130319,PSP,0.236087572,1.83271,0,0,707
20130323,MOBILE,75.22325761,197.63931,92,45,103821
20130407,MOBILE,47.33241481,206.79576,68,31,83043
20130511,BLACKBERRY_TABLET,687.7648086,649.17297,1600,77.1,256546
20130526,GOOGLE_TV,50.60663506,167.07253,38,72.007,66584
20130526,PALM,2.430103334,6.08716,2,0,2045
20130719,WII,0.488391088,3.28142,1,0,1365
20131023,GOOGLE_TV,33.90647198,136.10592,30,104.45,52532
20131023,PALM,2.065421542,4.60513,3,0,1558
20131107,GOOGLE_TV,38.87670822,144.6591879,26,79.55,55410
20131107,PALM,2.306091551,5.52315,4,0,1824
20131128,WINDOWS_MOBILE,543.5951034,1819.56752,499,49.16,687280
20131216,WII,1.946304367,9.042070677,2,0,3965
20130220,ANDROID_MOBILE,6689.03499,16863.333,9092,1759.8,6559490
20130221,COMPUTER,207257.786,483228.6573,99278,179965.406,225214208
20130227,ANDROID_TABLET,1194.223137,2522.91417,1689,151.63,1001241
20130304,ANDROID_MOBILE,8221.531781,22082.92648,11025,1777.934,8571147
20130305,COMPUTER,176117.6519,463610.7346,101036,171952.55,214033468
20130312,BLACKBERRY,93.42395035,310.86828,100,1,149324
20130326,IPOD,51.7547013,244.61295,382,10,90955
20130501,IPAD,6714.267865,21733.1136,13523,1426.876,9273972
20130512,PSP,0.115121504,0.47384,0,0,298
20130626,UNKNOWN,788.2053482,1725.93261,729,2312.435,728841
20130803,GOOGLE_TV,58.77324825,115.1280825,127,123.802,41764
20130803,PALM,2.424205536,5.14329,2,2,1983
20130824,WINDOWS_MOBILE,451.1733549,845.1582183,384,47.23,319574
20130826,IPHONE,6351.103495,27346.01142,13772,465.22,12027478
20130908,WINDOWS_MOBILE,222.5389828,684.1879242,384,51.09,270617
20130912,WII,0.625573871,6.261877244,0,0,3812
20130928,IPAD,9780.895037,32671.27673,19669,1000.23,14020928
20131123,UNKNOWN,1171.770672,3255.674497,713,6872.635,1492913
20131207,UNKNOWN,1323.875025,3188.844391,687,5176.32,1434267
20131228,ANDROID_MOBILE,35274.30451,76305.28291,85178,6412.7775,32537942
20131229,COMPUTER,433877.4529,813227.1046,133037,622175.91,388347061
20130104,WII,0.710859284,3.9052,0,0,1941
20130121,KINDLE,0.102263684,0.96631,0,0,365
20130127,NULL,1.481149878,4.113,78,0,1613
20130205,KINDLE,0.234090669,1.19809,0,0,511
