city,d_kings_landing,d_astapor,d_winterfell,trips_in_first_30_days,signup_date,!day of week,!day of week num,avg_rating_of_driver,avg_surge,last_trip_date,is_active,d_iphone,d_android,surge_pct,is_uber_black_user,weekday_pct,avg_dist,avg_rating_by_driver
Winterfell,0,0,1,0,1/19/2014,Sunday,1,NaN,1.5,6/8/2014,1,1,0,100,0,0,5.97,5
Astapor,0,1,0,1,1/27/2014,Monday,2,4,1,2/27/2014,0,0,1,0,0,100,11.25,5
Astapor,0,1,0,4,1/26/2014,Sunday,1,5,1,2/7/2014,0,1,0,0,1,25,6.12,4.8
Winterfell,0,0,1,1,1/25/2014,Saturday,7,4.9,1,6/14/2014,1,1,0,0,0,40,11.86,5
Winterfell,0,0,1,1,1/5/2014,Sunday,1,4,2,6/10/2014,1,1,0,100,0,100,10.01,5
Winterfell,0,0,1,1,1/27/2014,Monday,2,NaN,1,2/28/2014,0,1,0,0,1,100,4.48,5
Astapor,0,1,0,1,1/16/2014,Thursday,5,NaN,1.25,1/17/2014,0,0,1,100,0,100,4.12,5
King's Landing,1,0,0,2,1/17/2014,Friday,6,5,1,2/21/2014,0,0,1,0,0,100,14.16,5
Astapor,0,1,0,2,1/21/2014,Tuesday,3,NaN,1,6/25/2014,1,1,0,0,0,50,2.43,4.5
Astapor,0,1,0,0,1/2/2014,Thursday,5,4,1,4/26/2014,0,1,0,0,0,50,1.38,5
King's Landing,1,0,0,24,1/22/2014,Wednesday,4,4.9,1.04,6/30/2014,1,1,0,5.8,1,61.6,4.69,4.8
King's Landing,1,0,0,1,1/9/2014,Thursday,5,NaN,1,6/23/2014,1,1,0,0,1,100,13.73,5
Winterfell,0,0,1,2,1/31/2014,Friday,6,4,1,2/1/2014,0,1,0,0,0,50,0.83,5
Winterfell,0,0,1,0,1/18/2014,Saturday,7,4,1.88,5/10/2014,0,1,0,50,0,0,3.8,5
Winterfell,0,0,1,1,1/25/2014,Saturday,7,4,1.5,1/26/2014,0,0,1,100,0,0,5.72,5
Winterfell,0,0,1,1,1/13/2014,Monday,2,4.5,1,3/17/2014,0,1,0,0,0,50,16.52,5
King's Landing,1,0,0,2,1/22/2014,Wednesday,4,5,1,6/18/2014,1,1,0,0,1,66.7,1.4,5
Astapor,0,1,0,3,1/10/2014,Friday,6,4,1,4/19/2014,0,0,1,0,0,50,3,4.2
Astapor,0,1,0,6,1/20/2014,Monday,2,5,1.33,1/22/2014,0,1,0,33.3,0,100,2.93,5
Winterfell,0,0,1,1,1/18/2014,Saturday,7,5,1.25,1/19/2014,0,1,0,100,0,0,3.61,5
Winterfell,0,0,1,4,1/4/2014,Saturday,7,4.8,1,1/28/2014,0,1,0,0,0,100,1.75,4.8
Winterfell,0,0,1,2,1/4/2014,Saturday,7,4.4,1,6/19/2014,1,1,0,0,0,71.4,10.54,4.7
Winterfell,0,0,1,0,1/4/2014,Saturday,7,5,1.25,2/15/2014,0,0,1,100,0,0,3.25,5
Winterfell,0,0,1,4,1/2/2014,Thursday,5,4.5,1,5/2/2014,0,0,1,0,0,52.4,3.24,5
Winterfell,0,0,1,0,1/12/2014,Sunday,1,5,1,6/1/2014,1,1,0,0,0,80,4.98,5
Astapor,0,1,0,6,1/17/2014,Friday,6,4.4,1.56,5/16/2014,0,1,0,22.2,1,22.2,3.15,4.8
Winterfell,0,0,1,2,1/10/2014,Friday,6,3.5,1.5,6/15/2014,1,1,0,50,0,50,4.94,5
Winterfell,0,0,1,1,1/4/2014,Saturday,7,4,1,1/17/2014,0,1,0,0,0,100,36.01,5
Astapor,0,1,0,1,1/9/2014,Thursday,5,2.5,1,4/29/2014,0,0,1,0,0,100,23.49,5
Astapor,0,1,0,0,1/31/2014,Friday,6,4.3,1,3/10/2014,0,0,1,0,0,66.7,10.21,5
Astapor,0,1,0,0,1/5/2014,Sunday,1,5,1,4/20/2014,0,1,0,0,0,40,2.6,5
Astapor,0,1,0,1,1/25/2014,Saturday,7,5,1.25,3/29/2014,0,1,0,100,0,0,6.05,4.5
Astapor,0,1,0,1,1/4/2014,Saturday,7,NaN,1,1/5/2014,0,1,0,0,1,0,3.01,5
Astapor,0,1,0,1,1/31/2014,Friday,6,NaN,1,2/2/2014,0,1,0,0,0,0,4.66,5
King's Landing,1,0,0,0,1/30/2014,Thursday,5,4.5,1.06,5/9/2014,0,1,0,25,0,75,4.81,4.8
Astapor,0,1,0,3,1/29/2014,Wednesday,4,4.8,1.03,6/29/2014,1,1,0,5.4,0,54.1,2.21,4.8
Astapor,0,1,0,1,1/11/2014,Saturday,7,NaN,1.17,5/4/2014,0,0,1,33.3,0,66.7,6.12,5
Winterfell,0,0,1,1,1/20/2014,Monday,2,5,1,3/19/2014,0,1,0,0,0,75,10.37,5
Winterfell,0,0,1,1,1/7/2014,Tuesday,3,5,1,1/28/2014,0,1,0,0,1,100,2.42,5
Winterfell,0,0,1,0,1/18/2014,Saturday,7,5,1,6/13/2014,1,0,1,0,0,100,1.89,5
King's Landing,1,0,0,0,1/1/2014,Wednesday,4,5,1,6/15/2014,1,1,0,0,1,0,4.44,5
Astapor,0,1,0,5,1/18/2014,Saturday,7,3.9,1.09,6/17/2014,1,1,0,10.5,1,63.2,2.61,4.8
Astapor,0,1,0,0,1/8/2014,Wednesday,4,5,1,4/23/2014,0,1,0,0,0,100,4.46,5
Astapor,0,1,0,1,1/1/2014,Wednesday,4,5,1,1/1/2014,0,0,1,0,0,100,1.02,5
Astapor,0,1,0,1,1/7/2014,Tuesday,3,5,1,1/8/2014,0,1,0,0,0,100,0,3
Astapor,0,1,0,2,1/19/2014,Sunday,1,5,1,1/25/2014,0,1,0,0,0,0,37.11,5
King's Landing,1,0,0,7,1/24/2014,Friday,6,5,1.35,6/10/2014,1,1,0,36,0,84,2.3,4.9
Winterfell,0,0,1,0,1/21/2014,Tuesday,3,5,1,4/27/2014,0,0,1,0,0,0,1.45,4
Astapor,0,1,0,5,1/26/2014,Sunday,1,4.8,1,1/30/2014,0,1,0,0,0,100,2.47,5
Astapor,0,1,0,0,1/1/2014,Wednesday,4,NaN,1,2/3/2014,0,1,0,0,0,100,19.8,5
Winterfell,0,0,1,1,1/23/2014,Thursday,5,5,1,4/20/2014,0,1,0,0,0,0,1.82,4
Astapor,0,1,0,0,1/23/2014,Thursday,5,5,1,6/1/2014,1,0,1,0,1,66.7,10.49,5
Astapor,0,1,0,0,1/12/2014,Sunday,1,4,1.5,5/3/2014,0,1,0,25,0,50,3.99,5
Winterfell,0,0,1,1,1/25/2014,Saturday,7,4,3.5,2/5/2014,0,0,1,100,1,100,17.89,4
Winterfell,0,0,1,1,1/6/2014,Monday,2,4,1.11,6/20/2014,1,1,0,18.2,1,81.8,4.61,4.8
King's Landing,1,0,0,7,1/3/2014,Friday,6,4.8,1.03,6/29/2014,1,1,0,5.3,0,63.2,2.6,4.7
Astapor,0,1,0,0,1/9/2014,Thursday,5,4,1,6/30/2014,1,1,0,0,1,100,5.01,5
Winterfell,0,0,1,4,1/27/2014,Monday,2,5,1,4/28/2014,0,1,0,0,0,100,2.42,4.8
King's Landing,1,0,0,9,1/20/2014,Monday,2,4.7,1.17,5/25/2014,0,1,0,25,1,66.7,3.55,4.9
Winterfell,0,0,1,6,1/23/2014,Thursday,5,5,1,7/1/2014,1,1,0,0,1,67.6,3.06,4.7
King's Landing,1,0,0,3,1/5/2014,Sunday,1,5,1,6/29/2014,1,1,0,0,0,42.9,3.3,4.8
Astapor,0,1,0,0,1/19/2014,Sunday,1,5,1,5/18/2014,0,1,0,0,1,0,4.67,5
Winterfell,0,0,1,1,1/10/2014,Friday,6,5,1,2/9/2014,0,1,0,0,0,0,6.28,NaN
Astapor,0,1,0,3,1/18/2014,Saturday,7,5,1,6/26/2014,1,0,1,0,1,50,10.83,5
Winterfell,0,0,1,7,1/2/2014,Thursday,5,3.7,1,6/27/2014,1,1,0,0,0,55.2,1.55,4.5
Winterfell,0,0,1,5,1/5/2014,Sunday,1,4,1,5/28/2014,0,0,1,0,0,80,1.13,4.4
Astapor,0,1,0,1,1/17/2014,Friday,6,1,1,1/18/2014,0,1,0,0,1,0,23.34,4
Astapor,0,1,0,1,1/23/2014,Thursday,5,NaN,1,1/23/2014,0,1,0,0,1,100,1.35,4
Winterfell,0,0,1,11,1/26/2014,Sunday,1,4.1,1,7/1/2014,1,1,0,1.9,1,76.9,4.89,4.6
Astapor,0,1,0,4,1/7/2014,Tuesday,3,5,1,1/11/2014,0,0,1,0,1,75,5.36,5
King's Landing,1,0,0,1,1/18/2014,Saturday,7,4.3,1.02,6/19/2014,1,1,0,10,0,90,4.2,5
Astapor,0,1,0,73,1/27/2014,Monday,2,4.9,1,3/5/2014,0,0,1,0,1,89.7,2.86,4.9
Astapor,0,1,0,0,1/17/2014,Friday,6,NaN,1,6/2/2014,1,1,0,0,0,100,8.3,5
Astapor,0,1,0,1,1/18/2014,Saturday,7,5,1.17,5/25/2014,0,0,1,16.7,0,33.3,6.08,5
King's Landing,1,0,0,8,1/31/2014,Friday,6,4.2,1,6/25/2014,1,1,0,0,1,50,2.15,4.9
Winterfell,0,0,1,2,1/30/2014,Thursday,5,4.4,1,6/22/2014,1,1,0,0,1,50,6.86,4.9
Winterfell,0,0,1,3,1/1/2014,Wednesday,4,3,1,6/28/2014,1,1,0,0,1,63.6,4.08,4.9
Winterfell,0,0,1,0,1/20/2014,Monday,2,5,1,6/23/2014,1,0,1,0,0,0,4.99,5
Astapor,0,1,0,0,1/4/2014,Saturday,7,NaN,1,4/6/2014,0,0,1,0,0,0,1.63,5
King's Landing,1,0,0,14,1/7/2014,Tuesday,3,4.9,1.09,6/29/2014,1,1,0,15.9,0,50,10.79,4.9
Astapor,0,1,0,1,1/3/2014,Friday,6,3,1,1/8/2014,0,1,0,0,0,100,9.14,5
Astapor,0,1,0,1,1/19/2014,Sunday,1,NaN,1,4/14/2014,0,0,1,0,0,66.7,3.07,5
Astapor,0,1,0,2,1/25/2014,Saturday,7,5,1,6/11/2014,1,1,0,0,1,50,5.25,5
King's Landing,1,0,0,1,1/9/2014,Thursday,5,4.7,1,6/17/2014,1,1,0,0,1,100,3.81,5
Astapor,0,1,0,1,1/9/2014,Thursday,5,4.8,1,6/29/2014,1,1,0,0,1,36.4,2.65,5
Winterfell,0,0,1,1,1/1/2014,Wednesday,4,5,1,3/29/2014,0,0,1,0,0,33.3,10.29,3.7
Winterfell,0,0,1,1,1/8/2014,Wednesday,4,4.4,1.05,6/28/2014,1,0,1,9.1,0,63.6,12.32,4.7
Astapor,0,1,0,0,1/7/2014,Tuesday,3,4,1,4/9/2014,0,1,0,0,0,100,1.16,4.3
Winterfell,0,0,1,1,1/10/2014,Friday,6,5,1,1/11/2014,0,0,1,0,0,100,0,5
Astapor,0,1,0,1,1/10/2014,Friday,6,2.5,1.63,4/17/2014,0,1,0,50,0,100,2.64,5
Winterfell,0,0,1,0,1/14/2014,Tuesday,3,5,1,6/10/2014,1,1,0,0,1,85.7,16.85,5
Astapor,0,1,0,1,1/11/2014,Saturday,7,NaN,2.5,1/12/2014,0,0,1,100,0,0,4.14,5
Astapor,0,1,0,3,1/15/2014,Wednesday,4,4.3,1.06,5/23/2014,0,0,1,11.1,1,88.9,2.67,4.9
Winterfell,0,0,1,2,1/7/2014,Tuesday,3,4.9,1,6/15/2014,1,1,0,0,1,41.2,5.55,4.8
King's Landing,1,0,0,0,1/17/2014,Friday,6,5,1,6/23/2014,1,1,0,0,0,0,1.58,5
Astapor,0,1,0,0,1/25/2014,Saturday,7,5,1,4/3/2014,0,0,1,0,1,33.3,1.78,5
Winterfell,0,0,1,0,1/21/2014,Tuesday,3,5,1,6/5/2014,1,1,0,0,1,100,6.1,4.8
Winterfell,0,0,1,0,1/10/2014,Friday,6,4.4,1.32,3/16/2014,0,1,0,20,1,90,8.14,4.6
Astapor,0,1,0,2,1/16/2014,Thursday,5,5,1,1/17/2014,0,0,1,0,0,100,6.04,4.5
Winterfell,0,0,1,2,1/19/2014,Sunday,1,4,1.38,6/28/2014,1,0,1,50,1,0,2.92,5
Astapor,0,1,0,0,1/26/2014,Sunday,1,4.8,1.3,4/20/2014,0,1,0,20,0,20,2.81,4.3
Winterfell,0,0,1,3,1/11/2014,Saturday,7,5,1,1/12/2014,0,1,0,0,0,0,2,5
Astapor,0,1,0,0,1/31/2014,Friday,6,4.5,1,5/25/2014,0,0,1,0,1,0,7.4,5
Astapor,0,1,0,0,1/12/2014,Sunday,1,5,1,3/27/2014,0,0,1,0,0,100,1.2,4
King's Landing,1,0,0,0,1/25/2014,Saturday,7,5,1,6/6/2014,1,1,0,0,1,100,2.64,5
Winterfell,0,0,1,2,1/10/2014,Friday,6,3.8,1.06,6/30/2014,1,1,0,25,1,37.5,3.33,4.8
King's Landing,1,0,0,0,1/10/2014,Friday,6,5,1,6/11/2014,1,0,0,0,0,100,2.88,5
Winterfell,0,0,1,1,1/17/2014,Friday,6,NaN,1.75,1/18/2014,0,1,0,100,0,100,1.99,5
Winterfell,0,0,1,4,1/19/2014,Sunday,1,4.9,1,6/28/2014,1,1,0,0,0,43.8,3.22,4.5
Winterfell,0,0,1,1,1/2/2014,Thursday,5,5,1,1/3/2014,0,1,0,0,0,100,13.78,5
Astapor,0,1,0,0,1/7/2014,Tuesday,3,NaN,1,5/31/2014,0,1,0,0,1,0,8.2,5
King's Landing,1,0,0,4,1/18/2014,Saturday,7,4.4,1,6/13/2014,1,1,0,0,1,45.5,10.47,4.6
King's Landing,1,0,0,2,1/18/2014,Saturday,7,5,1,6/8/2014,1,1,0,0,1,16.7,2.27,5
Winterfell,0,0,1,3,1/1/2014,Wednesday,4,3.8,1.06,5/25/2014,0,0,1,8.3,0,41.7,1.68,4.7
King's Landing,1,0,0,1,1/26/2014,Sunday,1,4.5,1.1,6/25/2014,1,1,0,10,1,10,3.57,4.8
King's Landing,1,0,0,2,1/17/2014,Friday,6,5,1,6/23/2014,1,1,0,0,0,40,11.63,4.8
Winterfell,0,0,1,0,1/16/2014,Thursday,5,5,1,6/21/2014,1,1,0,0,1,100,0.95,5
King's Landing,1,0,0,11,1/4/2014,Saturday,7,5,1.03,6/24/2014,1,1,0,2.3,1,57.5,4.86,4.7
Winterfell,0,0,1,0,1/14/2014,Tuesday,3,5,1,3/28/2014,0,1,0,0,1,100,4.97,5
Winterfell,0,0,1,7,1/25/2014,Saturday,7,3.7,1.09,7/1/2014,1,1,0,3.8,0,57.7,5.44,4.6
Winterfell,0,0,1,0,1/11/2014,Saturday,7,NaN,1,5/21/2014,0,1,0,0,0,100,2.64,5
Astapor,0,1,0,0,1/10/2014,Friday,6,4.8,1.21,6/29/2014,1,1,0,21.4,1,28.6,3.42,5
King's Landing,1,0,0,10,1/5/2014,Sunday,1,4.5,1.14,6/16/2014,1,1,0,22.9,0,62.9,1.64,4.8
Winterfell,0,0,1,0,1/18/2014,Saturday,7,5,1.17,6/28/2014,1,1,0,33.3,0,66.7,4.43,4.7
Winterfell,0,0,1,0,1/31/2014,Friday,6,5,1,5/24/2014,0,1,0,0,1,0,4.01,5
Winterfell,0,0,1,2,1/21/2014,Tuesday,3,4,1,4/10/2014,0,1,0,0,1,50,2.1,4.4
Winterfell,0,0,1,2,1/24/2014,Friday,6,5,1,1/25/2014,0,1,0,0,1,50,7.63,5
Winterfell,0,0,1,4,1/31/2014,Friday,6,4.5,1,2/2/2014,0,1,0,0,0,0,1.89,4.5
Winterfell,0,0,1,1,1/26/2014,Sunday,1,4,1,1/27/2014,0,0,1,0,0,100,3.18,5
Winterfell,0,0,1,1,1/20/2014,Monday,2,5,1,5/18/2014,0,0,1,0,0,20,3.72,5
Astapor,0,1,0,0,1/11/2014,Saturday,7,5,1,3/28/2014,0,1,0,0,0,100,3.8,4.7
Astapor,0,1,0,1,1/12/2014,Sunday,1,5,1,1/19/2014,0,0,1,0,0,0,18.03,5
Astapor,0,1,0,1,1/14/2014,Tuesday,3,5,1,6/1/2014,1,1,0,0,1,30,2.92,4.7
King's Landing,1,0,0,0,1/12/2014,Sunday,1,4.9,1,6/25/2014,1,1,0,0,1,42.9,2.03,4.7
Astapor,0,1,0,1,1/4/2014,Saturday,7,5,1,1/4/2014,0,1,0,0,0,0,12.6,5
King's Landing,1,0,0,2,1/31/2014,Friday,6,5,1,6/20/2014,1,1,0,0,1,42.9,2.86,5
King's Landing,1,0,0,5,1/5/2014,Sunday,1,5,1,6/28/2014,1,0,1,0,1,100,18.57,5
Astapor,0,1,0,2,1/11/2014,Saturday,7,5,1.63,1/12/2014,0,1,0,100,0,0,1.5,3.5
Winterfell,0,0,1,1,1/6/2014,Monday,2,NaN,1,1/7/2014,0,0,1,0,0,100,2.36,5
Winterfell,0,0,1,0,1/20/2014,Monday,2,5,1,2/22/2014,0,0,1,0,0,100,1.73,5
Astapor,0,1,0,2,1/30/2014,Thursday,5,5,1,1/31/2014,0,0,1,0,0,100,3.37,3.5
Winterfell,0,0,1,0,1/24/2014,Friday,6,1,1,3/14/2014,0,1,0,0,1,100,2.11,5
Astapor,0,1,0,0,1/9/2014,Thursday,5,NaN,1,6/17/2014,1,1,0,0,0,100,5.45,5
Winterfell,0,0,1,1,1/14/2014,Tuesday,3,4,1,1/15/2014,0,1,0,0,0,100,2.2,5
Winterfell,0,0,1,1,1/31/2014,Friday,6,5,1,4/6/2014,0,0,1,0,0,50,3.88,5
Astapor,0,1,0,1,1/7/2014,Tuesday,3,2,1,1/15/2014,0,0,1,0,0,100,9.77,5
Astapor,0,1,0,3,1/25/2014,Saturday,7,4.5,1,4/6/2014,0,0,1,0,1,0,1.75,5
King's Landing,1,0,0,1,1/17/2014,Friday,6,4,1.25,1/18/2014,0,1,0,100,0,100,3.56,5
Astapor,0,1,0,0,1/28/2014,Tuesday,3,5,1,3/18/2014,0,0,0,0,0,100,20.32,5
King's Landing,1,0,0,0,1/5/2014,Sunday,1,5,1,4/19/2014,0,1,0,0,0,75,14.37,5
Astapor,0,1,0,1,1/30/2014,Thursday,5,4,1,2/25/2014,0,1,0,0,0,100,4.46,2
Astapor,0,1,0,1,1/15/2014,Wednesday,4,4,1,1/27/2014,0,1,0,0,0,100,12.52,5
Astapor,0,1,0,2,1/2/2014,Thursday,5,3.9,1.02,6/13/2014,1,1,0,3.5,0,69,4.2,4.6
Winterfell,0,0,1,1,1/28/2014,Tuesday,3,3,1,3/17/2014,0,0,1,0,1,0,2.74,4
Winterfell,0,0,1,0,1/1/2014,Wednesday,4,NaN,1,5/6/2014,0,1,0,0,1,100,18.15,5
King's Landing,1,0,0,1,1/4/2014,Saturday,7,5,1,1/5/2014,0,1,0,0,0,0,7.54,5
Winterfell,0,0,1,0,1/15/2014,Wednesday,4,5,1,5/25/2014,0,1,0,0,1,75,10.16,5
Winterfell,0,0,1,1,1/1/2014,Wednesday,4,NaN,1,1/26/2014,0,0,1,0,1,0,26.9,5
King's Landing,1,0,0,1,1/1/2014,Wednesday,4,5,1.05,6/8/2014,1,1,0,20,0,20,3.15,3.8
Winterfell,0,0,1,1,1/19/2014,Sunday,1,5,1,1/19/2014,0,1,0,0,0,0,4.54,5
Winterfell,0,0,1,1,1/11/2014,Saturday,7,NaN,1,1/14/2014,0,0,1,0,0,100,0,5
Winterfell,0,0,1,2,1/11/2014,Saturday,7,5,1,6/23/2014,1,1,0,0,1,33.3,8.91,5
Winterfell,0,0,1,0,1/23/2014,Thursday,5,4,1.25,5/17/2014,0,0,1,50,0,75,10.37,4
Winterfell,0,0,1,1,1/29/2014,Wednesday,4,NaN,1,1/29/2014,0,0,1,0,0,100,1.34,5
Winterfell,0,0,1,3,1/25/2014,Saturday,7,4.5,1,6/25/2014,1,1,0,0,1,20,4.42,4.5
Winterfell,0,0,1,4,1/12/2014,Sunday,1,5,1,1/16/2014,0,1,0,0,0,100,5.99,3
King's Landing,1,0,0,0,1/9/2014,Thursday,5,5,1.04,6/21/2014,1,1,0,14.3,1,42.9,1.78,5
Winterfell,0,0,1,1,1/29/2014,Wednesday,4,5,1,2/21/2014,0,1,0,0,0,100,1.27,5
Winterfell,0,0,1,3,1/27/2014,Monday,2,4,1,6/11/2014,1,1,0,0,1,62.5,8,4.8
Winterfell,0,0,1,0,1/8/2014,Wednesday,4,3.7,2.25,3/2/2014,0,1,0,66.7,0,33.3,3.75,5
Winterfell,0,0,1,1,1/26/2014,Sunday,1,5,2,3/3/2014,0,1,0,50,0,0,1.38,4
Winterfell,0,0,1,0,1/16/2014,Thursday,5,5,1,5/16/2014,0,1,0,0,0,100,4.58,5
Winterfell,0,0,1,22,1/11/2014,Saturday,7,4.6,1.02,6/29/2014,1,1,0,2.7,1,83.8,2.34,4.6
King's Landing,1,0,0,1,1/17/2014,Friday,6,5,1,6/27/2014,1,1,0,0,0,100,27.32,5
Winterfell,0,0,1,2,1/27/2014,Monday,2,4.6,1,5/20/2014,0,1,0,0,0,57.1,2.5,4.5
King's Landing,1,0,0,2,1/12/2014,Sunday,1,4.5,1.2,6/29/2014,1,1,0,26.1,1,52.2,6.87,5
Winterfell,0,0,1,0,1/6/2014,Monday,2,5,1,5/12/2014,0,1,0,0,0,66.7,5.28,5
Astapor,0,1,0,0,1/9/2014,Thursday,5,5,1,5/27/2014,0,1,0,0,1,100,2.09,5
Winterfell,0,0,1,0,1/22/2014,Wednesday,4,5,1,6/18/2014,1,1,0,0,0,100,3.69,5
Astapor,0,1,0,3,1/19/2014,Sunday,1,5,1,1/26/2014,0,0,1,0,0,0,2.52,5
Winterfell,0,0,1,1,1/24/2014,Friday,6,NaN,1,1/26/2014,0,1,0,0,0,0,14.93,5
Astapor,0,1,0,0,1/6/2014,Monday,2,5,1,5/9/2014,0,0,1,0,0,100,11.78,5
Winterfell,0,0,1,0,1/14/2014,Tuesday,3,5,1,5/14/2014,0,1,0,0,0,100,16.88,3
King's Landing,1,0,0,0,1/17/2014,Friday,6,5,1,6/29/2014,1,1,0,0,0,0,2.34,5
Winterfell,0,0,1,0,1/10/2014,Friday,6,5,1,2/10/2014,0,1,0,0,0,100,0.89,3
Winterfell,0,0,1,1,1/18/2014,Saturday,7,5,1,1/19/2014,0,0,1,0,0,0,3.07,5
Astapor,0,1,0,7,1/18/2014,Saturday,7,4.3,1.04,6/20/2014,1,1,0,7.1,0,57.1,3.81,4.9
Winterfell,0,0,1,1,1/24/2014,Friday,6,NaN,1,1/24/2014,0,1,0,0,1,100,19.77,4
King's Landing,1,0,0,0,1/11/2014,Saturday,7,4.5,1.5,6/27/2014,1,0,1,50,0,50,2.7,4.5
Winterfell,0,0,1,8,1/6/2014,Monday,2,4.7,1,6/28/2014,1,1,0,0,1,72.2,2.66,4.3
Winterfell,0,0,1,1,1/20/2014,Monday,2,5,1.75,2/16/2014,0,0,1,100,0,0,2.6,5
King's Landing,1,0,0,0,1/28/2014,Tuesday,3,NaN,1,6/14/2014,1,0,1,0,1,100,12.21,5
Winterfell,0,0,1,6,1/19/2014,Sunday,1,4.9,1.04,6/29/2014,1,1,0,7.7,0,0,2.34,4.8
Winterfell,0,0,1,1,1/25/2014,Saturday,7,4.3,1.13,5/18/2014,0,0,1,25,1,25,10.61,5
King's Landing,1,0,0,0,1/18/2014,Saturday,7,NaN,1,3/31/2014,0,1,0,0,0,0,7.89,5
Astapor,0,1,0,2,1/29/2014,Wednesday,4,NaN,1,5/5/2014,0,1,0,0,0,100,5.31,5
Winterfell,0,0,1,0,1/18/2014,Saturday,7,4.6,1,6/29/2014,1,0,1,0,0,40,1.69,5
Astapor,0,1,0,3,1/24/2014,Friday,6,4.8,1,6/28/2014,1,1,0,0,1,39.1,5.04,4.9
King's Landing,1,0,0,0,1/24/2014,Friday,6,5,1,6/28/2014,1,1,0,0,0,100,6.8,5
Winterfell,0,0,1,0,1/6/2014,Monday,2,5,1,5/22/2014,0,1,0,0,1,100,17.87,5
Astapor,0,1,0,1,1/18/2014,Saturday,7,5,1,5/17/2014,0,0,1,0,1,0,24.43,5
King's Landing,1,0,0,2,1/25/2014,Saturday,7,5,1.04,6/30/2014,1,1,0,4.9,0,46.3,2.69,4.7
Winterfell,0,0,1,1,1/6/2014,Monday,2,1,1,1/6/2014,0,1,0,0,1,100,18.61,2
Winterfell,0,0,1,1,1/28/2014,Tuesday,3,NaN,1,6/12/2014,1,1,0,0,1,100,9.31,4
